Last Name,First Name,Position,Overall,Salary,Team,Year,Projected Salary,Difference,Standard Difference,Percent Difference
Reynolds,LaRoy,ILB,67.0,675.0,ATL,2016.0,948.563621622,-273.563621622,0.224631043447,0.288397757816
Soliai,Paul,DT,80.0,3500.0,CAR,2016.0,4315.04343478,-815.043434783,0.295867850508,0.188884178595
Gradkowski,Gino,C,70.0,1050.0,CAR,2016.0,1083.15262963,-33.1526296296,0.0429441943949,0.0306075327915
Love,Kyle,DT,72.0,840.0,CAR,2016.0,1789.1422,-949.1422,0.70098463855,0.530501264796
Johnson,Leonard,CB,71.0,760.0,CAR,2016.0,1264.04534667,-504.045346667,0.513248484752,0.39875574717
Fleener,Coby,TE,84.0,7200.0,NO,2016.0,5904.0,1296.0,-0.591378740668,-0.219512195122
Laurinaitis,James,ILB,73.0,2750.0,NO,2016.0,1584.5697,1165.4303,-0.859592944963,-0.73548692746
Robertson,Craig,ILB,78.0,1666.667,NO,2016.0,3141.69713043,-1475.03013043,0.596115807557,0.469501059203
Stupar,Nathan,OLB,71.0,1666.667,NO,2016.0,1378.5835,288.0835,-0.26124668409,-0.2089706572
Kruger,Paul,OLB,85.0,3000.0,NO,2016.0,5748.10822222,-2748.10822222,0.918743977054,0.478089158377
Fairley,Nick,DT,79.0,3000.0,NO,2016.0,3996.14128,-996.14128,0.360043342227,0.24927579137
McCown,Luke,QB,71.0,1500.0,NO,2016.0,2738.90577419,-1238.90577419,0.363563115161,0.45233603356
Nicks,Hakeem,WR,73.0,885.0,NO,2016.0,1358.91083929,-473.910839286,0.481140631713,0.348743144572
Hightower,Tim,RB,73.0,840.0,NO,2016.0,853.40445283,-13.4044528302,0.0330772935326,0.0157070340865
Cadet,Travaris,RB,71.0,840.0,NO,2016.0,741.015,98.985,-0.409930399949,-0.133580291897
Sweezy,J.R.,G,76.0,6500.0,TB,2016.0,3008.77989286,3491.22010714,-1.48883497141,-1.16034413665
Ayers,Robert,DE,84.0,6500.0,TB,2016.0,5570.22690909,929.773090909,-0.321727179908,-0.166918351098
Grimes,Brent,CB,85.0,6750.0,TB,2016.0,5082.85457143,1667.14542857,-0.437032323281,-0.327993926472
Smith,Daryl,ILB,82.0,2500.0,TB,2016.0,4509.62258333,-2009.62258333,0.847331928738,0.445629882811
Robinson,Josh,CB,75.0,2000.0,TB,2016.0,2830.61807547,-830.618075472,0.333372464413,0.293440532536
Shorts,Cecil,WR,73.0,1050.0,TB,2016.0,1358.91083929,-308.910839286,0.31362345833,0.227322374916
Sensabaugh,Coty,CB,71.0,4666.667,LA,2016.0,1264.04534667,3402.62165333,-3.46474859714,-2.69185093898
